Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic
SC23-POD10,PODs,,,Toward a quantum-enhanced future with SoftServe R&D,"SoftServe combines cutting-edge advisory and software solutions. Their comprehensive R&DaaS includes fundamental research, hardware assessment, cloud proficiency, and talent development, allowing them to empower enterprises and software companies to rediscover differentiation, expedite solution development, and remain competitive in today‚Äôs marketplace, regardless of where you are on your journey. In this demo, explore SoftServe‚Äôs quantum industrialization journey, from pinpointing use cases to crafting solutions and seamless integration while benefiting from the flexibility and availability of AWS Cloud infrastructure. Then, explore widely applied combinatorial optimization problems. Additionally, learn about addressing demanding optimization problems through traditional high performance computing techniques, such as utilizing Monte Carlo methods for multi-GPU optimization and agent-based modeling for GPU-accelerated scheduling.",SoftServe,13-Nov,19:00,21:00,Monday,XX,"Tan Yick Wei (Jonas), Head of R&D, SoftServe; Damyr Hadiiev, R&D Science Practice Leader, SoftServe",,Toward a quantum-enhanced future with SoftServe R&D,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD12,PODs,,,Enabling engineering workloads with Ansys Gateway powered by AWS,"Migrating engineering workloads like CAE simulation to cloud-based HPC has been a challenge for many AWS users. In this demo, learn how Ansys Gateway powered by AWS offers an easy workflow to deploy virtual desktops and virtual clusters with your selected Ansys applications installed, configured, and tuned for optimal performance. This is deployed in your own AWS environment, giving you the improved data control and affordability. Come see how this service can help accelerate your engineering workloads with the power of Ansys and AWS HPC.",Ansys,13-Nov,19:00,21:00,Monday,XX,"JJ Jones, Director Cloud Sales, Ansys; Jim Burnham, Director - Global Alliances, Ansys ",,Enabling engineering workloads with Ansys Gateway powered by AWS,AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD4,PODs,,,"Rescale HTC platform for semiconductor, manufacturing, and pharma","High-throughput computing (HTC) is emerging as a powerful capability for engineering and research across many industries. From drug discovery and computational chemistry to electronic design automation (EDA) and environmental research, HTC is helping scientific and engineering teams perform massively parallel processing to quickly analyze vast quantities of information for solving some of the world‚Äôs most complex scientific and engineering challenges. In this demo, see how companies like Arm use the Rescale HTC platform powered by services like AWS Batch and AWS Graviton3E-based Amazon EC2 instances to run large-scale analyses for semiconductor design.",Rescale,13-Nov,19:00,21:00,Monday,XX,"Billy Karasz, Senior Solutions Architect, Rescale; Madhu Vellaka, Solutions Engineering Manager, Rescale",,"Rescale HTC platform for semiconductor, manufacturing, and pharma",AWS Booth #1001 | Pod 4 SC'23 Denver,"Graviton, Batch, HTC"
SC23-POD8,PODs,,,Reduce simulation time with TotalCAE on AWS,"TotalCAE on AWS reduces CAE simulation time up to 80% in just a few clicks for hundreds of CAE applications. See how easy it can be to adopt the latest AWS HPC technologies without being an IT expert, backed by TotalCAE one-hour support times.",TotalCAE,13-Nov,19:00,21:00,Monday,XX,"Rod Mach, Founder and CEO, TotalCAE",,Reduce simulation time with TotalCAE on AWS,AWS Booth #1001 | Pod 8 SC'23 Denver,CAE
SC23-POD11,PODs,,,Quantum reservoir computing for manufacturing defect detection,"Deloitte used QuEra‚Äôs neutral atom system to classify manufacturing images at their Smart Factory in Wichita, Kansas. In this demo, see how Deloitte took a real-world business problem, solved it with cutting-edge quantum AI techniques (quantum reservoir computing), and productionized it using a production-ready dashboard. Deloitte compared QuEra‚Äôs implementation of quantum reservoir computing against classical methodologies and found the results exceeded the method currently being used. Learn how Deloitte is working to productionize quantum AI algorithms as part of The Smart Factory quality assurance efforts and are working with the team to find the best methods for performing these tasks in a manufacturing facility.",Deloitte,13-Nov,19:00,21:00,Monday,XX,"Daniel Beaulieu, AI and ML Specialist, Deloitte; William Scherr, Senior Consultant, Deloitte",,Quantum reservoir computing for manufacturing defect detection,AWS Booth #1001 | Pod 11 SC'23 Denver,Quantum
SC23-POD6,PODs,,,HPC made easy on AWS with UCit solutions,"UCit's solutions on AWS ParallelCluster can help you create custom clusters on AWS for Hybrid operations. In this session, learn how you can benefit from workstation fleets integration and seamless pre- and post-processing applications for both Linux and Windows fleets. OKA Cloud is included to increase efficiency, limit waste, and provide powerful insights on cluster usage, performance, and costs.",UCit,13-Nov,19:00,21:00,Monday,XX,"Benjamin Depardon, CTO, UCit; Julien Vacher, Marketing Manager, UCit; 
Brian Amedro, Cloud Architect, UCit; Philippe Bricard, CEO, UCit",,HPC made easy on AWS with UCit solutions,AWS Booth #1001 | Pod 6 SC'23 Denver,Migration
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,13-Nov,20:00,21:00,Monday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Storage, Batch"
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum AI algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,14-Nov,10:00,11:00,Tuesday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum, Amazon Braket"
SC23-POD7,PODs,,,Getting to the winning molecules faster,"Promethium is a revolutionary chemistry simulation platform developed by QC Ware that will significantly accelerate the drug, material, and chemical discovery process. Built for virtually unlimited scalability on Amazon EC2 P3 and P4d instances, Promethium was designed to be GPU native and perform fully ab initio density functional theory (DFT) calculations with exceptional speed and accuracy. Coupled with its capability to treat system sizes not typically accessible by DFT, Promethium has the potential to transform the industry and bring immediate value to customers in areas like pharma and materials science. Whether you‚Äôre trying to discover the next blockbuster drug or developing more advanced materials, join this session to learn how Promethium can help you make breakthrough discoveries and take your research to the next level.",QC Ware,14-Nov,10:00,12:00,Tuesday,XX,"Alicia Welden, Technical Account Manager, QC Ware",,Getting to the winning molecules faster,AWS Booth #1001 | Pod @ SC'23 Denver,"HPC, GPU, Accelerators"
SC23-POD9,PODs,,,Scaling AI and generative AI workloads with Covalent,"As focus shifts from data-centric to compute-intensive tasks, many traditional cloud tools struggle to maintain efficiency and scalability. Built on AWS, Covalent provides developer-friendly abstractions for high-compute workloads. Users can integrate their own AWS Batch jobs for computing while Covalent takes care of orchestration to maintain data privacy. The framework harnesses AWS services such as Amazon SQS, Amazon EventBridge, and AWS Lambda to enhance scalability and cost-efficiency. Covalent optimizes costs and simplifies development, making compute-intensive tasks feel like an extension of one‚Äôs local laptop. This demo delves into Covalent‚Äôs unique positioning in meeting the demands of high-compute developments, including large language models (AIs) and generative AI.",Agnostiq,14-Nov,10:00,12:00,Tuesday,XX,"Oktay Goktas, CEO, Agnostiq; Santosh Kumar Radha, Head of Product, Agnostiq
",,Scaling AI and generative AI workloads with Covalent,AWS Booth #1001 | Pod @ SC'23 Denver,"Batch, Generative AI, AI, HPC"
SC23-POD8,PODs,,,Quantum reservoir computing for manufacturing defect detection,"Deloitte used QuEra‚Äôs neutral atom system to classify manufacturing images at their Smart Factory in Wichita, Kansas. In this demo, see how Deloitte took a real-world business problem, solved it with cutting-edge quantum AI techniques (quantum reservoir computing), and productionized it using a production-ready dashboard. Deloitte compared QuEra‚Äôs implementation of quantum reservoir computing against classical methodologies and found the results exceeded the method currently being used. Learn how Deloitte is working to productionize quantum AI algorithms as part of The Smart Factory quality assurance efforts and are working with the team to find the best methods for performing these tasks in a manufacturing facility.",Deloitte,14-Nov,10:00,12:00,Tuesday,XX,"Daniel Beaulieu, Specialist Master, Deloitte; William Scherr, Senior Consultant, Deloitte",,Quantum reservoir computing for manufacturing defect detection,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD5,PODs,,,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors","Amazon EC2 Hpc7a instances, powered by fourth-generation AMD EPYC processors, deliver up to 2.5 times better performance compared to Amazon EC2 Hpc6a instances. Hpc7a instances feature 2 times higher core density (up to 192 cores), 2.1 times higher memory bandwidth throughput, 2 times memory (768 GB), and 3 times higher network bandwidth compared to Hpc6a instances. In this demonstration, explore how Hpc7a instances are designed to run your tightly coupled HPC workloads, such as computational fluid dynamics, weather forecasting, and multiphysics simulations, with better performance.",AMD,14-Nov,10:00,14:00,Tuesday,XX,"Matt Shamitoff, Global Account Manager AWS, AMD; Mark Monro, 
Cloud Partner Development Manager, AMD",,"Accelerate HPC workloads with Amazon EC2, powered by AMD EPYC processors",AWS Booth #1001 | Pod 5 SC'23 Denver,HPC Optimized Instances
SC23-POD12,PODs,,,Enabling engineering workloads with Ansys Gateway powered by AWS,"Migrating engineering workloads like CAE simulation to cloud-based HPC has been a challenge for many AWS users. In this demo, learn how Ansys Gateway powered by AWS offers an easy workflow to deploy virtual desktops and virtual clusters with your selected Ansys applications installed, configured, and tuned for optimal performance. This is deployed in your own AWS environment, giving you the improved data control and affordability. Come see how this service can help accelerate your engineering workloads with the power of Ansys and AWS HPC.",Ansys,14-Nov,10:00,14:00,Tuesday,XX,"JJ Jones, Director Cloud Sales, Ansys; Jim Burnham, Director - Global Alliances, Ansys ",,Enabling engineering workloads with Ansys Gateway powered by AWS,AWS Booth #1001 | Pod 12 SC'23 Denver,CAE
SC23-POD4,PODs,,,AutoHPC: Automated HPC cluster creation and expert support,"AutoHPC is a cutting-edge SaaS solution tailored for HPC users seeking the advantages of HPC systems without the substantial upfront investment required for purchasing and maintaining HPC hardware. In this demonstration, learn how you can make the installation, configuration, access, monitoring, and budgeting of your HPC cluster an effortless experience with AutoHPC‚Äôs user-friendly interface. By asking you a few simple questions, AutoHPC can automate the entire process from start to finish, making it faster and easier to set up and manage your HPC cluster.",BrightSkies,14-Nov,10:00,12:00,Tuesday,XX,"Nour AbouElNada, Product Manager, BrightSkies; Khaled El Amrawi, CEO Brightskies",,AutoHPC: Automated HPC cluster creation and expert support,AWS Booth #1001 | Pod 4 SC'23 Denver,Workload Management
SC23-POD10,PODs,,,Powering hybrid cloud workloads with YellowDog and AWS,"Compute availability is the biggest challenge with most workloads (including AI and ML) now chasing constrained global capacity. The imperative is to think and act quickly to get what you need but be smart, be efficient, and reduce risk. On-premises resources are still very much part of the equation, and, combined with the huge global cloud footprint of AWS, YellowDog uniquely enables workload portability at scale efficiently and cost effectively, reducing operational risk and accelerating insight.",Yellow Dog,14-Nov,10:00,12:00,Tuesday,XX,"Niall Kennedy, Product Director, YellowDog; Simon Ponsford, CTO, YellowDog",,Powering hybrid cloud workloads with YellowDog and AWS,AWS Booth #1001 | Pod 10 SC'23 Denver,HTC
SC23-POD11,PODs,,,Predicting protein structures at scale using AWS Batch,"Cognizant is proud to be an AWS Competency Partner, having demonstrated technical proficiency and proven customer success with HPC solutions encompassing high-performance solvers, HPC platforms, and workload management. Cognizant has engaged with scientists in different fields (such as life sciences, oil and gas, and financial services) and with the AWS HPC team to implement the latest technologies, architectures, processors, and compilers to solve problems efficiently in these industries. Learn how Cognizant‚Äôs workshops and advisory services on HPC and quantum computing for both business executives and technical experts have enhanced customers‚Äô efforts and success during HPC deployment or modernization.",Cognizant,14-Nov,10:00,12:00,Tuesday,XX,"John Cupit, Director, Cognizant; Arkady Polyak, Chief Technology Architect, Cognizant; Anastasia Tishuk, Software Engineer, Cognizant",,Predicting protein structures at scale using AWS Batch,AWS Booth #1001 | Pod 11 SC'23 Denver,"HPC Services, HCLS, Energy, Financial Services"
SC23-POD6,PODs,,,DXC hybrid cloud with AWS,"Using real life examples and use cases, DXC explains how traditional on-premises models of HPC can be transformed by the introduction of AWS Cloud. In this session, learn the merits of hybrid compute and how to manage the transition to a successful managed solution.",DXC,14-Nov,10:00,12:00,Tuesday,XX,"Andrew Cusick, Global Business Analyst HPC Managed Services, DXC; Andrew Gunnesch, Senior Architect HPC Managed Services, DXC",,DXC hybrid cloud with AWS,AWS Booth #1001 | Pod 6 SC'23 Denver,Hybrid Cloud
AWS-THEATRE,T,,,Model training with AWS ParallelCluster,"Training AI (ML) models requires setting up clusters that enable many GPUs to talk to each other using low-latency networking that is capable of driving massive throughput. This session shares in real time how you can quickly and easily set up an ML training cluster using AWS ParallelCluster, NVIDIA GPUs, Elastic Fabric Adapter (EFA), and Amazon FSx for Lustre. Learn how to train a GPT model using Megatron-LM, store the results, and collapse the infrastructure when you’re finished.",AWS,14-Nov,11:00,12:00,Tuesday,bouffler,"Sean Smith, Senior HPC Specialist Solutions Architect, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Model training with AWS ParallelCluster,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, AI"
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,14-Nov,12:00,13:00,Tuesday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,ParallelCluster
SC23-POD8,PODs,,,Unlocking quantum potential: Getting started with Strangeworks,"Join us for a demo to help demystify quantum programming. Explore the Quantum Approximate Optimization Algorithm (QAOA) service, which simplifies quantum computing for all skill levels. See the practical application of the QAOA service on AWS via Rigetti hardware, showcasing Strangeworks‚Äôs latest cargo loading problem. Whether you‚Äôre a quantum novice or an experienced coder, gain insights into quantum computing‚Äôs potential. Discover how Strangeworks‚Äôs intuitive platform is reshaping quantum accessibility, making it easier and more efficient to harness quantum power. Start your quantum journey with Strangeworks and witness the transformative possibilities of quantum computing.",Strangeworks,14-Nov,12:00,14:00,Tuesday,XX,"Steven Gibson, Chief Strategy Officer, Strangeworks",,Unlocking quantum potential: Getting started with Strangeworks,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,Bloqade: Capably emulating & operating neutral-atom quantum computers,"This demo introduces QuEra and Bloqade, an SDK and emulator for neutral-atom quantum computing. See its success in adoption, some of its features relevant for high performance computing (such as multi-threading and GPU), and its general functionality and pipeline for operating real QPUs.",QuEra,14-Nov,12:00,14:00,Tuesday,XX,"Tommaso Macri, Executive Account Manager, QuEra; Nate Gemelke, CTO, QuEra",,Bloqade: Capably emulating & operating neutral-atom quantum computers,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD11,PODs,,,"Rescale HTC platform for semiconductor, manufacturing, and pharma","High-throughput computing (HTC) is emerging as a powerful capability for engineering and research across many industries. From drug discovery and computational chemistry to electronic design automation (EDA) and environmental research, HTC is helping scientific and engineering teams perform massively parallel processing to quickly analyze vast quantities of information for solving some of the world‚Äôs most complex scientific and engineering challenges. In this demo, see how companies like Arm use the Rescale HTC platform powered by services like AWS Batch and AWS Graviton3E-based Amazon EC2 instances to run large-scale analyses for semiconductor design.",Rescale,14-Nov,12:00,16:00,Tuesday,XX,"Billy Karasz, Senior Solutions Architect, Rescale; Madhu Vellaka, Solutions Engineering Manager, Rescale",,"Rescale HTC platform for semiconductor, manufacturing, and pharma",AWS Booth #1001 | Pod 11 SC'23 Denver,"Graviton, Batch, HTC"
SC23-POD4,PODs,,,Supercomputing on AWS with RONIN: It's not complicated[YK1],"RONIN is a one-stop shop for self-service cloud management. It helps businesses migrate critical and expensive business functions, such as storage management, desktop virtualization, and HPC footprint, to a more flexible, secure, and efficient AWS architecture. RONIN can assist you in scaling up to a fleet of HPC supercomputers to meet the demands of your business, and most importantly, scale them back down when you no longer require the compute power that AWS and RONIN provide. In this demonstration, learn how RONIN can help you stay compliant with regulations, automate tasks, and provide a single pane of glass experience for a better view of your operations.",RONIN,14-Nov,12:00,16:00,Tuesday,XX,"Nathan Albrighton, CEO, RONIN; Byron Low, COO, RONIN; Parice Brandies, Principal Bioinfomatician, RONIN; Don Hancock, CFO, RONIN; Aaron Albrighton, Lead Developer, RONIN",,Supercomputing on AWS with RONIN: It's not complicated,AWS Booth #1001 | Pod 4 SC'23 Denver,Research
SC23-POD6,PODs,,,How to successfully move a Fortune 50 technology company to AWS,"In 2019, UberCloud met with a Fortune 50 high-tech company that develops consumer-tech products‚Äîlet‚Äôs call it TC-Anonymous (TCA). After moving several engineering simulations at TCA to AWS, UberCloud built its first automated self-service engineering simulation production platform on AWS and onboarded the first seven engineers of TCA‚Äôs R&D department to AWS. Today, TCA is running 34 different simulation workflows on AWS, with annual cloud consumption of $15 million, and increasing engineers‚Äô productivity by a factor of 10 to 40, depending on the scalability of the simulation jobs and the cloud HPC hardware. In the AWS booth, see a demo of this simulation platform and get deeper insight into the challenges and benefits for TCA.",UberCloud,14-Nov,12:00,14:00,Tuesday,XX,"Wolfgang Gentzsch, President and Co-Founder, UberCloud; Chris Hegarty, Business Development Executive, UberCloud",,How to successfully move a Fortune 50 technology company to AWS,AWS Booth #1001 | Pod 6 SC'23 Denver,"Containers, CAE"
SC23-POD7,PODs,,,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,"Sanofi opted to shift from on-premises infrastructure to Amazon Web Services (AWS) for its business-critical WISE platform (200+ servers), to mitigate risk and enhance performance. Join this session to learn how this cloud migration allowed for increased agility, better user-centric services, and substantial computational power for emerging applications like genomics and AI algorithms. The move aimed to minimize downtime, ensure stability, and meet the escalating demands of thousands of users, averting potential business repercussions.",DoItNow,14-Nov,12:00,13:00,Tuesday,XX,"Alberto Garcia, Senior HPC expert, doitnow; Thierry Porcher, CTO, doitnow; Cosma Belli, Business Dev. Manager,doitnow",,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,AWS Booth #1001 | Pod 7 SC'23 Denver,Migration
SC23-POD10,PODs,,,Virtual Fugaku on AWS,"The Fugaku supercomputer has made substantial strides in computational capability and user accessibility by integrating a robust system software stack involving HPC, Big Data, AI, and more than 50 HPC productivity applications and tools preinstalled and maintained ready-to-use and accessible through a robust GUI environment. As developer and owner of Fugaku, RIKEN Center for Computational Science (R-CCS) continues development of Virtual Fugaku, an initiative aimed at seamlessly extending the software environment of Fugaku to a broader user base and packaged into a containerized portable software distribution. In this session, learn how R-CCS and AWS are working together to deliver the full capability of Fugaku onto a virtual cluster on the AWS Cloud using AWS Graviton3 and AWS Graviton3E Arm-based cloud infrastructure. This integration highlights Fugaku's versatility and AWS's commitment to embrace cutting-edge technologies in the realm of HPC and high-end AI.",RIKEN,14-Nov,12:00,13:00,Tuesday,XX,"Satoshi Matsuoka Director, RIKEN Center for Computational Science, RIKEN",,Virtual Fugaku on AWS,AWS Booth #1001 | Pod 10 SC'23 Denver,Graviton
COMMUNITY,C,,,"MPI Forum BoF: Introducing MPI 4.1, the Newest Version of the MPI standard",https://sc23.supercomputing.org/presentation/?id=bof126&sess=sess339 Rm 205-207,,14-Nov,12:15,13:15,Tuesday,qkoziol@,https://sc23.supercomputing.org/presentation/?id=bof126&sess=sess339,,"MPI Forum BoF: Introducing MPI 4.1, the Newest Version of the MPI standard",Rm 205-207,"SC BoF, Community"
AWS-THEATRE,T,,,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease","Join this session to learn how organizations across different fields—from EDA to drug design—have been using AWS to scale and improve their R&D. Learn how to create a real, large, and very complete cluster in a few minutes using AWS HPC services, including AWS ParallelCluster, Amazon FSx for Lustre, and visualization with NICE DCV. Find out how to customize compute images to include applications and development tools, and discover how to integrate with Spack for reliable deployment of open source packages.",AWS,14-Nov,13:00,14:00,Tuesday,bouffler,"Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,"My laptop has 50,000 cores: Spinning up serious infrastructure with ease",AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Visualization"
SC23-POD10,PODs,,,Powering the era of HPC and generative AI,"In this session, explore innovations in climate simulation, weather modeling, energy efficiency, and more powered by full-stack Accelerators from AWS and NVIDIA.",NVidia,14-Nov,13:00,14:00,Tuesday,XX,TBD,,Powering the era of HPC and generative AI,AWS Booth #1001 | Pod 10 SC'23 Denver,"Accelerators, Generative AI"
SC23-POD7,PODs,,,HPC made easy on AWS with UCit solutions,"UCit's solutions on AWS ParallelCluster can help you create custom clusters on AWS for Hybrid operations. In this session, learn how you can benefit from workstation fleets integration and seamless pre- and post-processing applications for both Linux and Windows fleets. OKA Cloud is included to increase efficiency, limit waste, and provide powerful insights on cluster usage, performance, and costs.",UCit,14-Nov,13:00,14:00,Tuesday,XX,"Benjamin Depardon, CTO, UCit; Julien Vacher, Marketing Manager, UCit; 
Brian Amedro, Cloud Architect, UCit; Philippe Bricard, CEO, UCit",,HPC made easy on AWS with UCit solutions,AWS Booth #1001 | Pod 7 SC'23 Denver,Migration
AWS-THEATRE,T,,,Combining generative AI with physics to simulate millions of unique engineering designs,"The generative capability of AI holds significant promise across a diverse range of industries fueled by engineering design, such as automotive, motor sports, and aerospace. In this session, discover how to create a pipeline that uses generative AI designs to feed conventional physics-based simulations, and learn how to loop all of this to create a converging, rapid design process for exploring new design concepts starting from a single image. Learn how to use open source frameworks to create digital twins, deploy OpenFOAM in containers for the simulations, and use serverless tools coupled with AWS Batch to drive all this at scale.",AWS,14-Nov,14:00,15:00,Tuesday,bouffler,"Angel Pizarro, Principal HPC Developer Advocate, AWS; Matt Vaughn, Principal HPC Developer Advocate, AWS",,Combining generative AI with physics to simulate millions of unique engineering designs,AWS Booth #1001 | Theatre @ SC'23 Denver,"Batch, Generative AI"
SC23-POD9,PODs,,,IonQ QPUs for Amazon Braket and new features,"During this demo, discover IonQ‚Äôs offerings tailored for Amazon Braket customers. Delve into IonQ‚Äôs roadmap and upcoming architectures, Forte and Tempo. Explore new features like debiasing and sharpening, and see a brief hands-on demo of initiating Amazon Braket with IonQ‚Äôs QPU backends.",IonQ,14-Nov,14:00,15:00,Tuesday,XX,"Vadim Karpusenko, Staff Developer Advocate, IonQ",,IonQ QPUs for Amazon Braket and new features,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
